"","dem_vote","marital_id","state_id"
"460",1,0,"arizona"
"461",0,0,"arizona"
"462",0,1,"arizona"
"463",0,0,"arizona"
"464",1,1,"arizona"
"465",1,0,"arizona"
"466",1,0,"arizona"
"467",0,1,"arizona"
"468",0,0,"arizona"
"469",1,1,"arizona"
"470",1,1,"arizona"
"471",0,1,"arizona"
"472",1,0,"arizona"
"473",0,1,"arizona"
"474",1,1,"arizona"
"475",1,1,"arizona"
"476",0,0,"arizona"
"477",0,1,"arizona"
"478",0,1,"arizona"
"479",0,1,"arizona"
"480",1,1,"arizona"
"481",0,1,"arizona"
"482",1,0,"arizona"
"483",1,1,"arizona"
"484",0,1,"arizona"
"485",0,1,"arizona"
"486",0,1,"arizona"
"487",0,1,"arizona"
"488",0,1,"arizona"
"489",0,1,"arizona"
"490",1,1,"arizona"
"491",1,0,"arizona"
"492",0,0,"arizona"
"493",0,1,"arizona"
"494",1,1,"arizona"
"495",0,0,"arizona"
"496",0,1,"arizona"
"497",1,1,"arizona"
"498",0,1,"arizona"
"499",0,1,"arizona"
"500",1,0,"arizona"
"501",0,1,"arizona"
"502",0,1,"arizona"
"503",1,1,"arizona"
"504",1,0,"arizona"
"505",0,1,"arizona"
"506",0,1,"arizona"
"507",1,0,"arizona"
"508",0,1,"arizona"
"509",0,1,"arizona"
"510",1,1,"arizona"
"511",0,1,"arizona"
"512",0,1,"arizona"
"513",1,0,"arizona"
"514",1,1,"arizona"
"515",1,1,"arizona"
"516",1,0,"arizona"
"517",1,0,"arizona"
"518",1,0,"arizona"
"519",0,1,"arizona"
"520",1,0,"arizona"
"521",0,0,"arizona"
"522",0,1,"arizona"
"523",0,1,"arizona"
"524",0,1,"arizona"
"525",0,1,"arizona"
"526",1,1,"arizona"
"527",0,1,"arizona"
"528",1,0,"arizona"
"529",0,1,"arizona"
"530",0,1,"arizona"
"531",1,0,"arizona"
"532",1,0,"arizona"
"533",0,1,"arizona"
"534",1,0,"arizona"
"535",1,0,"arizona"
"536",1,0,"arizona"
"537",0,1,"arizona"
"538",1,0,"arizona"
"539",0,1,"arizona"
"540",0,1,"arizona"
"541",0,1,"arizona"
"542",1,1,"arizona"
"543",1,1,"arizona"
"544",0,1,"arizona"
"545",1,1,"arizona"
"546",1,1,"arizona"
"547",1,1,"arizona"
"548",0,1,"arizona"
"549",1,1,"arizona"
"550",0,0,"arizona"
"551",1,1,"arizona"
"552",1,1,"arizona"
"553",1,0,"arizona"
